Especies;Estatus;Amenaza
 Dendrocygna autumnalis;R;LC
 Spatula discors;M;LC
 Tachybaptus dominicus;R;LC
 Patagioenas flavirostris;R;LC
 Columbina inca;R;LC
 Columbina talpacoti;R;LC
 Leptotila verreauxi;R;LC
 Zenaida asiatica;R;LC
 Zenaida macroura;M;LC
 Piaya cayana;R;LC
 Amazilia saucerottei;R;LC
 Amazilia tzacatl;R;LC
 Gallinula galeata;R;LC
 Fulica americana;R;LC
 Himantopus mexicanus;M;LC
 Vanellus chilensis;R;LC
 Charadrius vociferus;M;LC
 Jacana spinosa;R;LC
 Ardea alba;R;LC
Egretta thula;R;LC
 Egretta caerulea;M;LC
 Bubulcus ibis;R;LC
 Butorides virescens;R;LC
Coragyps atratus;R;LC
Cathartes aura;R;LC
Elanus leucurus;R;LC
Spizaetus tyrannus;R;LC
Rupornis magnirostris;R;LC
Buteo platypterus;M;LC
Buteo brachyurus;R;LC
Momotus lessonii;R;LC
 Melanerpes hoffmannii;R;LC
Milvago chimachima;R;LC
Zimmerius parvus;R;LC
Sayornis nigricans;R;LC
Pitangus sulphuratus;R;LC
Myiozetetes similis;R;LC
Tyrannus melancholicus;R;LC
Psilorhinus morio;R;LC
Pygochelidon cyanoleuca;R;LC
Stelgidopteryx serripennis;R;LC
Troglodytes aedon;R;LC
Cantorchilus modestus;R;LC
Catharus aurantiirostris;R;LC
Spinus psaltria;R;LC
Spinus xanthogastrus;R;LC
Zonotrichia capensis;R;LC
Melozone cabanisi;R;LC
Sturnella magna;R;NT
Psarocolius montezuma;R;LC
Icterus galbula;M;LC
Dives dives;R;LC
Quiscalus mexicanus;R;LC
Parkesia motacilla;M;LC
Oreothlypis peregrina;M;N/A
Geothlypis philadelphia;M;LC
Setophaga petechia;M;LC
Basileuterus rufifrons;R;LC
Cardellina pusilla;M;LC
Piranga rubra;M;LC
Sporophila morelleti;R;LC
Passer domesticus;R;LC
